index,Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_dropped,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_rx_errors,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_tx_errors,energon_network_metrics_wlan0_rx_packets,energon_cpu_in_power_mW,energon_network_metrics_wlan0_tx_bytes,energon_ram_used_percentage,energon_network_metrics_wlan0_rx_bytes,energon_network_metrics_wlan0_tx_dropped,energon_cpu_total_usage_percentage,energon_total_in_power_mW,energon_network_quality_wlan0_link_quality_x_over_70,energon_gpu_in_power_mW
48.0,48,1690668687.488638,10.574726663868027,0.0,0.0011234283447265,0.0308930873870849,0.0346500873565673,0.0016374588012695,0.01,0.053849706649780206,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
49.0,49,1690668687.5717828,10.63812245218197,0.0,0.0011117458343505,0.0286126136779785,0.0224332809448242,0.001540184020996,0.01,0.037411699295043906,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
50.0,50,1690668687.6547902,10.65239490488814,0.0,0.0012671947479248,0.029163122177124,0.0232961177825927,0.0015268325805664,0.01,0.038252840042114294,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
51.0,51,1690668687.7406728,10.635718908254423,0.0,0.0011811256408691,0.028933048248291,0.0263919830322265,0.0016007423400878,0.01,0.04139829635620121,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
52.0,52,1690668687.8358386,10.587772965803044,0.0,0.0011906623840332,0.0288777351379394,0.0249388217926025,0.0016050338745117,0.01,0.03998256683349611,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
53.0,53,1690668687.9360914,10.539404239398351,0.0,0.001150369644165,0.0273725986480712,0.02669358253479,0.0014991760253906,0.01,0.0546989536285401,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
54.0,54,1690668688.0201485,10.560915060581207,0.0,0.0012612342834472,0.0294582843780517,0.0233433246612548,0.0014991760253906,0.01,0.038402328491210905,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
55.0,55,1690668688.1128824,10.57460080799192,0.0,0.0018575191497802,0.0310888290405273,0.0265200138092041,0.0014717578887939,0.01,0.0414326286315918,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
56.0,56,1690668688.1994746,10.575516946684967,0.0,0.0011155605316162,0.0291955471038818,0.026118516921997,0.0018301010131835,0.01,0.04138494491577151,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
57.0,57,1690668688.2832642,10.672918070222298,0.0,0.0012335777282714,0.0288357734680175,0.0230598449707031,0.0014731884002685,0.01,0.0386531448364258,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
58.0,58,1690668688.3649013,10.778634077429736,0.0,0.0012545585632324,0.0290441513061523,0.0206971168518066,0.001544713973999,0.01,0.036758670806884795,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
59.0,59,1690668688.4586403,10.830742319035185,0.0,0.0013577938079833,0.0285811424255371,0.0244455337524414,0.0016481876373291,0.01,0.043561468124389706,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
60.0,60,1690668688.5517216,10.890805051331204,0.0,0.0012190341949462,0.0304400920867919,0.0260636806488037,0.0015244483947753,0.23,0.2637440967559814,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
61.0,61,1690668688.6672928,10.84796003181771,0.0,0.001162052154541,0.0278165340423584,0.0343842506408691,0.0017938613891601,0.01,0.0633649921417237,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
62.0,62,1690668688.7781737,10.745941745200795,0.0,0.0013091564178466,0.0301425457000732,0.0386736392974853,0.0018994808197021,0.01,0.0607714748382569,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,58295.0,0.0,27840.0,2900.0,67395865.0,12.732346953054632,2531852.0,0.0,68.1592039800995,6533.0,52.0,1963.0
